127.0.0.1 - - [31/Mar/2017:20:59:17 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/plantri.jsf HTTP/1.1" 200 10632
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/resources/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/resources/css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/resources/css/navbar.css HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/resources/css/navbar-fixed-top.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/resources/js/ie-emulation-modes-warning.js HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/resources/css/ie10-viewport-bug-workaround.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/resources/css/styles.css HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/javax.faces.resource/theme.css.jsf?ln=primefaces-bootstrap HTTP/1.1" 200 33197
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:19 +0200] "GET /Prisme/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.3 HTTP/1.1" 200 70765
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:20 +0200] "GET /Prisme/resources/img/logo_open_wcs.png HTTP/1.1" 200 70926
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:20 +0200] "GET /Prisme/javax.faces.resource/images/ui-icons_333333_256x240.png.jsf?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [31/Mar/2017:20:59:48 +0200] "GET /Prisme/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
